Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos,estado
4,3,4,118,10159-M4907857,Colinas Del Norte,330000000,Entre 5 y 10 años,11884,115,,1.0,venta_casa
5,3,3,270,10159-M4957928,San Laureano,500000000,Más de 20 años,270,268,,1.0,venta_casa
5,5,4,225,10159-M4958104,Colinas Del Norte,360000000,Entre 10 y 20 años,225,220,,1.0,venta_casa
3,1,3,52,10159-M4907882,Tunja,130000000,Entre 0 y 5 años,5265,50,100000.0,,venta_apartamento
5,4,5,180,10159-M4958249,Unicentro,430000000,Entre 5 y 10 años,180,180,,,venta_apartamento
3,1,3,62,10159-M4957914,Tunja,170000000,Más de 20 años,62,63,94000.0,2.0,venta_apartamento
3,1,3,48,10159-M4958749,Tunja,140000000,Entre 5 y 10 años,4838,4838,20000.0,,venta_apartamento
3,3,4,84,10159-M4958113,Tunja,325000000,Entre 10 y 20 años,84,83,150000.0,1.0,venta_apartamento
4,4,4,222,10159-M4958237,Zona Centro,360000000,Más de 20 años,222,220,,1.0,venta_casa
5,3,3,180,10159-M4958750,Los Muiscas,355000000,Más de 20 años,180,180,,1.0,venta_casa
3,3,3,164,10159-M4957953,Barrio Suarez,310000000,Entre 10 y 20 años,164,160,,1.0,venta_casa
4,5,6,440,10159-M4957967,Tunja,1100000000,Entre 0 y 5 años,440,420,50000.0,2.0,venta_casa
2,2,5,52,10159-M4378327,Unicentro,290000000,Entre 0 y 5 años,52,50,182500.0,1.0,venta_apartamento
3,2,5,93,10159-M4538291,Unicentro,410000000,Entre 5 y 10 años,9338,90,250000.0,1.0,
2,2,5,75,10159-M4340709,Mesopotamia,270000000,Entre 10 y 20 años,75,72,206000.0,1.0,venta_apartamento
3,3,6,384,603-M4418400,Tunja,750000000,Más de 20 años,384,384,,2.0,venta_casa
5,5,3,550,10159-M4106793,San Laureano,1249000000,Más de 20 años,550,540,,3.0,venta_casa
2,2,5,64,10159-M4039417,Tunja,270000000,Entre 10 y 20 años,64,61,200000.0,,venta_apartamento
3,2,3,54,10159-M3985011,Trigales,250000000,Entre 0 y 5 años,54,51,103000.0,1.0,venta_apartamento
5,4,4,340,10159-M4500979,Tunja,850000000,Entre 10 y 20 años,340,320,,1.0,venta_casa
5,5,5,650,10159-M4021072,Tunja,2999000000,Más de 20 años,650,2980,,4.0,venta_casa
