path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
79d4-b11a-e997c4f4-ca85fbdb7e38-3ffa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,79d4-b11a-e997c4f4-ca85fbdb7e38-3ffa,3.0,2.0,73.0,240000000.0,,5.539,-73.359
dcae-843a-18f1ff7-eb2a3c01dd0-7be7,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,dcae-843a-18f1ff7-eb2a3c01dd0-7be7,3.0,2.0,56.0,195000000.0,,5.529,-73.354
2bc4-81bc-46b0adbc-b68f97ae62c2-3989,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2bc4-81bc-46b0adbc-b68f97ae62c2-3989,3.0,3.0,112.53,460000000.0,,5.534,-73.362
e994-8489-24171d00-e565d2ce18a3-3a1d,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,e994-8489-24171d00-e565d2ce18a3-3a1d,3.0,1.0,49.0,135000000.0,,5.516,-73.368
85bc-8dfa-18f1ad1-b7bf80ee23b5-7daa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,85bc-8dfa-18f1ad1-b7bf80ee23b5-7daa,2.0,1.0,38.0,140000000.0,,5.539,-73.359
df43-b876-1cd7281e-e234a337aa64-3d82,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,df43-b876-1cd7281e-e234a337aa64-3d82,2.0,2.0,56.0,140000000.0,,5.508,-73.368
7985-b2f7-e361066e-a14b38821d58-400c,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,7985-b2f7-e361066e-a14b38821d58-400c,3.0,2.0,65.75,220000000.0,,5.533,-73.357
28e6-aa5f-e9d1a450-2f8cdaf40ade-34d6,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,28e6-aa5f-e9d1a450-2f8cdaf40ade-34d6,4.0,3.0,67.56,280000000.0,,5.534,-73.362
2be4-abb2-38d4ebe-2a9c249a6e43-3dc5,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2be4-abb2-38d4ebe-2a9c249a6e43-3dc5,3.0,2.0,65.75,210000000.0,,5.533,-73.363
3412-98bf-18f86f7-6ab1715e407f-750d,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,3412-98bf-18f86f7-6ab1715e407f-750d,1.0,1.0,38.0,140000000.0,,5.536,-73.357
