path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
135a-9179-b53386c4-f6d588df8511-3fba,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,135a-9179-b53386c4-f6d588df8511-3fba,3,2,"56,85m2",180.000.000,,5.527,-73.359
8034-a4d9-77d6de0-3d462a28adf5-3d8b,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,8034-a4d9-77d6de0-3d462a28adf5-3d8b,3,2,58m2,230.000.000,,5.516,-73.368
8ecd-bc7e-f6a6afcc-a55a776421c0-3c31,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,8ecd-bc7e-f6a6afcc-a55a776421c0-3c31,2,1,"48,79m2",195.000.000,,5.533,-73.363
59b8-88a5-62d3c0f7-adcbbb928a2a-328a,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,59b8-88a5-62d3c0f7-adcbbb928a2a-328a,2,2,52m2,160.000.000,,5.533,-73.363
55ad-9542-7831eb3a-a065a9cf6574-3771,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,55ad-9542-7831eb3a-a065a9cf6574-3771,3,2,"73,17m2",273.000.000,,5.534,-73.362
dc79-8460-3e525754-337853c69385-3d9e,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,dc79-8460-3e525754-337853c69385-3d9e,4,2,131m2,320.000.000,,5.534,-73.364
ee5c-927e-1baa5004-88bc334bf562-3825,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,ee5c-927e-1baa5004-88bc334bf562-3825,3,2,58m2,195.000.000,,5.511,-73.368
2ac1-8bb3-177ee2b-6949e33a9475-3940,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2ac1-8bb3-177ee2b-6949e33a9475-3940,2,2,55m2,233.943.500,,5.538,-73.358
99dd-b2e4-edf5f131-bf3263b5f56e-3322,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,99dd-b2e4-edf5f131-bf3263b5f56e-3322,1,1,27m2,122.500.000,,5.512,-73.368
4d30-b67a-8d986333-830d1775268a-35a5,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,4d30-b67a-8d986333-830d1775268a-35a5,1,1,"23,47m2",100.000.000,,5.533,-73.363
4afc-8c75-2d34c208-b6e46b815570-364d,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,4afc-8c75-2d34c208-b6e46b815570-364d,1,1,"30,35m2",110.000.000,,5.524,-73.37
1ff7-9ad0-29f49d26-165ad78f1f1d-3c34,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,1ff7-9ad0-29f49d26-165ad78f1f1d-3c34,3,3,"132,9m2",315.000.000,,5.542,-73.358
7740-b75c-93b4aa1d-b43d08fd7331-32d6,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7740-b75c-93b4aa1d-b43d08fd7331-32d6,3,3,100m2,320.000.000,,5.526,-73.364
171a-bd69-a424b003-50d6c9afb973-33bc,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,171a-bd69-a424b003-50d6c9afb973-33bc,4,4,"137,54m2",450.000.000,,5.534,-73.362
880-aa7b-5cc7202a-e7a8c2540fe2-3668,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,880-aa7b-5cc7202a-e7a8c2540fe2-3668,3,2,102m2,270.000.000,,5.534,-73.354
4184-a836-4189ee4b-bc93d6b590c3-39bd,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,4184-a836-4189ee4b-bc93d6b590c3-39bd,3,2,68m2,295.000.000,,5.534,-73.362
79d4-b11a-e997c4f4-ca85fbdb7e38-3ffa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,79d4-b11a-e997c4f4-ca85fbdb7e38-3ffa,3,2,73m2,240.000.000,,5.539,-73.359
dcae-843a-18f1ff7-eb2a3c01dd0-7be7,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,dcae-843a-18f1ff7-eb2a3c01dd0-7be7,3,2,56m2,195.000.000,,5.529,-73.354
2bc4-81bc-46b0adbc-b68f97ae62c2-3989,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2bc4-81bc-46b0adbc-b68f97ae62c2-3989,3,3,"112,53m2",460.000.000,,5.534,-73.362
e994-8489-24171d00-e565d2ce18a3-3a1d,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,e994-8489-24171d00-e565d2ce18a3-3a1d,3,1,49m2,135.000.000,,5.516,-73.368
85bc-8dfa-18f1ad1-b7bf80ee23b5-7daa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,85bc-8dfa-18f1ad1-b7bf80ee23b5-7daa,2,1,38m2,140.000.000,,5.539,-73.359
df43-b876-1cd7281e-e234a337aa64-3d82,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,df43-b876-1cd7281e-e234a337aa64-3d82,2,2,56m2,140.000.000,,5.508,-73.368
7985-b2f7-e361066e-a14b38821d58-400c,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,7985-b2f7-e361066e-a14b38821d58-400c,3,2,"65,75m2",220.000.000,,5.533,-73.357
28e6-aa5f-e9d1a450-2f8cdaf40ade-34d6,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,28e6-aa5f-e9d1a450-2f8cdaf40ade-34d6,4,3,"67,56m2",280.000.000,,5.534,-73.362
2be4-abb2-38d4ebe-2a9c249a6e43-3dc5,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,2be4-abb2-38d4ebe-2a9c249a6e43-3dc5,3,2,"65,75m2",210.000.000,,5.533,-73.363
3412-98bf-18f86f7-6ab1715e407f-750d,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,3412-98bf-18f86f7-6ab1715e407f-750d,1,1,38m2,140.000.000,,5.536,-73.357
6bd5-a4c8-1bfc2b17-3c2284aa93f5-3425,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6bd5-a4c8-1bfc2b17-3c2284aa93f5-3425,3,2,"88,6m2",330.000.000,,5.534,-73.362
9cfa-a566-27df2142-461b25a582d-39f8,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,9cfa-a566-27df2142-461b25a582d-39f8,2,2,57m2,180.000.000,,5.53,-73.363
af3e-af38-2350d6ec-e3df64f2fcc8-35e7,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,af3e-af38-2350d6ec-e3df64f2fcc8-35e7,3,2,"54,34m2",200.000.000,,5.534,-73.362
47a0-b9d9-12961676-5a70f43edae7-336c,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,47a0-b9d9-12961676-5a70f43edae7-336c,3,2,76m2,265.000.000,,5.542,-73.358
7556-b46f-a849904c-3210660f9425-30d7,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7556-b46f-a849904c-3210660f9425-30d7,3,2,56m2,140.000.000,,5.528,-73.353
580b-872e-a7730d3b-fd51e4812e4f-4021,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,580b-872e-a7730d3b-fd51e4812e4f-4021,3,2,105m2,300.000.000,,5.534,-73.362
f957-8f37-50ea35f-6044e97b0ef6-3f0b,Apartamento,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f957-8f37-50ea35f-6044e97b0ef6-3f0b,4,2,165m2,260.000.000,,5.533,-73.363
9a7d-a59c-7fc34f37-796c80b9e552-3221,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,9a7d-a59c-7fc34f37-796c80b9e552-3221,3,3,88m2,230.000.000,4.0,5.52701,-73.36154
f575-8795-18f9d98-60fd680a24c7-7940,Apartamento,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,f575-8795-18f9d98-60fd680a24c7-7940,3,3,95m2,540.000.000,4.0,5.532966,-73.367802
c45d-a95f-a421816f-f03d0bf9ed99-4fbd,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,c45d-a95f-a421816f-f03d0bf9ed99-4fbd,3,2,73m2,158.000.000,3.0,5.5278833,-73.3519163
f55-91ba-f6c474d5-22cdf2f109f8-43de,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,f55-91ba-f6c474d5-22cdf2f109f8-43de,4,3,"126,67m2",140.000.000,3.0,5.5160457,-73.3683401
3e1f-b6a5-f3635322-b2e103a75ad4-3daa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,3e1f-b6a5-f3635322-b2e103a75ad4-3daa,2,2,63m2,250.000.000,4.0,5.540236,-73.356867
3319-b73e-ec63cb31-b7455280d4d7-39d9,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,3319-b73e-ec63cb31-b7455280d4d7-39d9,4,3,173m2,350.000.000,,5.518,-73.361
568-aa8d-9eefe984-1c1340ca9f1-3199,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,568-aa8d-9eefe984-1c1340ca9f1-3199,6,4,354m2,1.900.000.000,,5.533,-73.363
dabb-9666-2fa2d8c1-4c876326ff32-39ff,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,dabb-9666-2fa2d8c1-4c876326ff32-39ff,7,5,864m2,2.300.000.000,,5.533,-73.363
554-be43-18f4c25-b96b2546332e-723d,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,554-be43-18f4c25-b96b2546332e-723d,7,6,300m2,1.850.000.000,6.0,5.527421,-73.361366
b166-afbd-6c26b615-2ecfe7c335fa-3d67,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,b166-afbd-6c26b615-2ecfe7c335fa-3d67,1,1,550m2,1.700.000.000,,5.533,-73.363
576-af28-680d7874-65289a485265-437b,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,576-af28-680d7874-65289a485265-437b,6,6,300m2,1.977.983.412,3.0,5.5357381,-73.3605539
a3dc-80a3-ee305f3f-446d32bb8660-34b0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,a3dc-80a3-ee305f3f-446d32bb8660-34b0,3,4,250m2,1.100.000.000,,5.534,-73.362
ca11-bdf5-70169daf-c5430513f38e-37e2,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,ca11-bdf5-70169daf-c5430513f38e-37e2,4,4,250m2,680.000.000,,5.534,-73.362
1555-9e0d-18f0f45-d1eb086bca89-7caa,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1555-9e0d-18f0f45-d1eb086bca89-7caa,5,3,172m2,330.000.000,,5.517,-73.37
3f23-8611-50b9a74b-88edd809fd2f-312a,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,3f23-8611-50b9a74b-88edd809fd2f-312a,6,6,"438,5m2",2.200.000.000,,5.534,-73.362
be83-9dfb-343693d2-bb81d637038f-40d2,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,be83-9dfb-343693d2-bb81d637038f-40d2,5,3,NAN,290.000.000,3.0,5.5168179,-73.3689698
6452-8936-fc1fb37d-34022c9da222-352c,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6452-8936-fc1fb37d-34022c9da222-352c,4,3,"130,5m2",480.000.000,,5.534,-73.362
d950-908a-b6b6fb2c-a104aa5b8f07-3e8c,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,d950-908a-b6b6fb2c-a104aa5b8f07-3e8c,4,4,"258,41m2",895.132.240,,5.527,-73.366
80d2-9b56-26dc8c20-334f949c2feb-507d,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,80d2-9b56-26dc8c20-334f949c2feb-507d,4,2,NAN,250.000.000,3.0,5.5270431,-73.36067872
7fa2-bc0a-355eb801-e54d955a504c-3f23,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,7fa2-bc0a-355eb801-e54d955a504c-3f23,6,6,"438,5m2",2.200.000.000,,5.534,-73.362
d1e8-a343-dc0f1678-5c6129e3b960-4b99,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,d1e8-a343-dc0f1678-5c6129e3b960-4b99,3,2,"354,07m2",530.427.129,3.0,5.5082056,-73.369396
64eb-8b5d-4987a7fe-e821aa0310d6-396f,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,64eb-8b5d-4987a7fe-e821aa0310d6-396f,5,4,142m2,360.000.000,,5.539,-73.359
1fde-a0f7-1fa2895b-6845c8bfb8e3-392e,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1fde-a0f7-1fa2895b-6845c8bfb8e3-392e,4,3,163m2,270.000.000,,5.52,-73.358
b31d-9841-1c594cdc-adf5ccff324e-3fca,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b31d-9841-1c594cdc-adf5ccff324e-3fca,4,2,112m2,270.000.000,,5.514,-73.362
b74b-88cd-18fc4c3-c93436a54b8e-7389,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,b74b-88cd-18fc4c3-c93436a54b8e-7389,9,3,210m2,410.000.000,,5.537,-73.368
4451-9e39-18f4404-d4014bfa71f5-797e,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,4451-9e39-18f4404-d4014bfa71f5-797e,2,2,146m2,320.000.000,,5.525,-73.371
c4d1-ba1c-8548d738-b22709a20d9c-3385,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,c4d1-ba1c-8548d738-b22709a20d9c-3385,5,4,211m2,330.000.000,,5.515,-73.368
adab-bffa-68dcffdd-7ade1783f24c-3a00,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,adab-bffa-68dcffdd-7ade1783f24c-3a00,1,1,"433,46m2",950.000.000,,5.533,-73.363
f7c0-8911-5d26c9aa-a446e273e4ca-3344,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f7c0-8911-5d26c9aa-a446e273e4ca-3344,2,1,140m2,298.000.000,,5.533,-73.363
236b-858a-9af1c629-d52e85c3d68-32c0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,236b-858a-9af1c629-d52e85c3d68-32c0,6,5,184m2,800.000.000,,5.536,-73.356
e49d-a1fc-bdefeeb2-42c4a13e975e-33f6,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,e49d-a1fc-bdefeeb2-42c4a13e975e-33f6,4,4,209m2,580.000.000,,5.534,-73.362
112d-97f5-b309a860-5eeba4a92225-3c09,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,112d-97f5-b309a860-5eeba4a92225-3c09,5,3,150m2,285.000.000,,5.524,-73.37
f25b-b5fa-8233471c-d0c955e88b3c-3be7,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,f25b-b5fa-8233471c-d0c955e88b3c-3be7,3,3,91m2,330.000.000,,5.538,-73.362
52c5-9947-8e96a97e-96d72b971fd6-3a90,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,52c5-9947-8e96a97e-96d72b971fd6-3a90,7,5,244m2,580.000.000,,5.527,-73.366
6b6b-92a5-7f780c9a-550617448a22-3a8b,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6b6b-92a5-7f780c9a-550617448a22-3a8b,6,6,200m2,290.000.000,,5.534,-73.346
161d-95d4-40cc5cdb-f86a4174e9c7-39dd,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,161d-95d4-40cc5cdb-f86a4174e9c7-39dd,N,4,358m2,700.000.000,,5.538,-73.363
35a1-bdf6-8acb94d4-ac3bbca84d1c-3ff9,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,35a1-bdf6-8acb94d4-ac3bbca84d1c-3ff9,4,4,"258,41m2",839.832.500,,5.527,-73.366
495b-ab52-18f1089-10301fa36911-7ab0,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,495b-ab52-18f1089-10301fa36911-7ab0,5,5,400m2,470.000.000,,5.535,-73.368
f53-b333-3eeb8f71-cf6dc48001db-3d8f,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f53-b333-3eeb8f71-cf6dc48001db-3d8f,4,5,375m2,1.100.000.000,,5.534,-73.362
53d-85b5-b798afa7-e13aadcd5e05-330e,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,53d-85b5-b798afa7-e13aadcd5e05-330e,5,3,110m2,350.000.000,,5.542,-73.357
6036-9f5f-b1642c63-a37f88f77a40-39e5,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,6036-9f5f-b1642c63-a37f88f77a40-39e5,6,3,138m2,350.000.000,,5.541,-73.358
b8d2-b7bb-18ff31c-e592434beac2-7e44,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b8d2-b7bb-18ff31c-e592434beac2-7e44,3,2,101m2,220.000.000,,5.525,-73.36
7dc2-b048-ea811420-a7577cfae664-3c95,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7dc2-b048-ea811420-a7577cfae664-3c95,1,8,590m2,880.000.000,,5.525,-73.367
7434-81f6-e269b8cb-9d5fb5fd1c08-3bbf,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,7434-81f6-e269b8cb-9d5fb5fd1c08-3bbf,3,2,220m2,380.000.000,,5.53,-73.361
e12a-bf26-5db0a021-21e44c1e5a6b-30e0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,e12a-bf26-5db0a021-21e44c1e5a6b-30e0,3,3,118m2,289.000.000,,5.534,-73.362
305b-a575-583e9335-edf9f19a97b8-3de8,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,305b-a575-583e9335-edf9f19a97b8-3de8,3,2,"86,8m2",240.000.000,,5.517,-73.369
5ba5-afca-4086e112-274f10aeedd4-3c2c,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,5ba5-afca-4086e112-274f10aeedd4-3c2c,6,5,220m2,650.000.000,,5.503,-73.363
9b78-9096-d42f13e-891a074ee34a-3919,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,9b78-9096-d42f13e-891a074ee34a-3919,4,2,136m2,270.000.000,,5.534,-73.362
6a0a-9fdf-ad552ab-92fbdd3c38e0-3380,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,6a0a-9fdf-ad552ab-92fbdd3c38e0-3380,5,4,102m2,900.000.000,,5.542,-73.358
9e9e-a96d-7617b6c8-6cd838e39787-404f,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,9e9e-a96d-7617b6c8-6cd838e39787-404f,N,N,228m2,650.000.000,,5.542,-73.358
88b8-9182-d4fc0b35-b6730a63a3b3-38cb,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,88b8-9182-d4fc0b35-b6730a63a3b3-38cb,4,2,72m2,180.000.000,,5.518,-73.365
787b-81d6-2e98aad1-b18447c17498-3a95,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,787b-81d6-2e98aad1-b18447c17498-3a95,5,3,100m2,310.000.000,,5.527,-73.362
a3fa-9e5d-290786dd-27f35be5dfc4-3543,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,a3fa-9e5d-290786dd-27f35be5dfc4-3543,5,3,"127,4m2",250.000.000,,5.525,-73.368
3aba-947c-137fbb52-55b715324260-326b,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,3aba-947c-137fbb52-55b715324260-326b,N,1,80m2,329.000.000,,5.516,-73.368
5cf1-ba2a-6b16f76-78fb4e458811-34dd,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,5cf1-ba2a-6b16f76-78fb4e458811-34dd,3,1,79m2,160.000.000,,5.514,-73.373
c637-98f7-18f9b90-fddef7c159a8-7870,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,c637-98f7-18f9b90-fddef7c159a8-7870,6,2,201m2,450.000.000,,5.54,-73.358
46b9-be08-82990708-2512b9e916e8-309a,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,46b9-be08-82990708-2512b9e916e8-309a,4,4,129m2,320.000.000,,5.53,-73.361
1d69-a7f8-586edfb2-6c2829122d1b-4082,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1d69-a7f8-586edfb2-6c2829122d1b-4082,4,2,110m2,180.000.000,,5.531,-73.359
